claim_id,year,quarter,region,segment,claim_type,incurred_amount_eur,status,date_of_loss
CLM-10001,2023,1,Andalusia,Commercial Fleet,Weather damage,155074.06,Closed,31/01/2023
CLM-10002,2023,1,Andalusia,Commercial Fleet,Windscreen,53265.02,Open,27/03/2023
CLM-10003,2023,1,Andalusia,Commercial Fleet,Theft,311240.15,Closed,23/02/2023
CLM-10004,2023,1,Andalusia,Commercial Fleet,Collision,342039.89,Closed,31/01/2023
CLM-10005,2023,1,Andalusia,Commercial Fleet,Collision,208649.47,Closed,12/02/2023
CLM-10006,2023,1,Andalusia,Commercial Fleet,Theft,271261.3,Closed,23/02/2023
CLM-10007,2023,1,Andalusia,Motorcycle,Third-party liability,802325.54,Closed,18/02/2023
CLM-10008,2023,1,Andalusia,Private Motor,Third-party liability,625267.26,Closed,29/01/2023
CLM-10009,2023,1,Andalusia,Private Motor,Third-party liability,741396.29,Closed,04/03/2023
CLM-10010,2023,1,Andalusia,Private Motor,Third-party liability,957782.12,Closed,08/03/2023
CLM-10011,2023,1,Andalusia,Private Motor,Third-party liability,647500.21,Closed,06/01/2023
CLM-10012,2023,1,Andalusia,Private Motor,Windscreen,58538.47,Closed,28/03/2023
CLM-10013,2023,1,Andalusia,Private Motor,Third-party liability,776244.69,Closed,23/01/2023
CLM-10014,2023,1,Andalusia,Private Motor,Collision,519093.12,Closed,08/03/2023
CLM-10015,2023,1,Andalusia,Private Motor,Windscreen,80710.46,Closed,12/03/2023
CLM-10016,2023,1,Andalusia,Private Motor,Collision,540592.13,Closed,22/03/2023
CLM-10017,2023,1,Andalusia,Private Motor,Collision,427797.47,Closed,23/03/2023
CLM-10018,2023,1,Andalusia,Private Motor,Collision,211542.92,Closed,11/02/2023
CLM-10019,2023,1,Andalusia,Private Motor,Weather damage,142421.85,Closed,10/03/2023
CLM-10020,2023,1,Andalusia,Private Motor,Total loss,667298.66,Closed,10/03/2023
CLM-10021,2023,1,Andalusia,Private Motor,Collision,402471.26,Closed,23/03/2023
CLM-10022,2023,1,Andalusia,Private Motor,Collision,409438.27,Closed,14/03/2023
CLM-10023,2023,1,Andalusia,Private Motor,Collision,422244.12,Closed,02/02/2023
CLM-10024,2023,1,Andalusia,Private Motor,Theft,670389.69,Closed,06/03/2023
CLM-10025,2023,1,Basque Country,Commercial Fleet,Third-party liability,1243973.45,Closed,15/02/2023
CLM-10026,2023,1,Basque Country,Commercial Fleet,Total loss,793716.6,Closed,06/02/2023
CLM-10027,2023,1,Basque Country,Commercial Fleet,Weather damage,534836.03,Closed,26/03/2023
CLM-10028,2023,1,Basque Country,Commercial Fleet,Collision,244960.78,Open,23/03/2023
CLM-10029,2023,1,Basque Country,Commercial Fleet,Windscreen,158297.81,Closed,07/01/2023
CLM-10030,2023,1,Basque Country,Private Motor,Third-party liability,460369.16,Closed,06/02/2023
CLM-10031,2023,1,Basque Country,Private Motor,Total loss,1745492.21,Closed,19/03/2023
CLM-10032,2023,1,Basque Country,Private Motor,Third-party liability,470734.21,Closed,13/01/2023
CLM-10033,2023,1,Basque Country,Private Motor,Theft,1199411.36,Closed,26/02/2023
CLM-10034,2023,1,Catalonia,Commercial Fleet,Collision,525520.07,Closed,06/02/2023
CLM-10035,2023,1,Catalonia,Commercial Fleet,Collision,238743.58,Closed,23/02/2023
CLM-10036,2023,1,Catalonia,Commercial Fleet,Theft,573224.65,Closed,31/01/2023
CLM-10037,2023,1,Catalonia,Commercial Fleet,Theft,356082.88,Closed,18/01/2023
CLM-10038,2023,1,Catalonia,Commercial Fleet,Theft,496791.85,Closed,24/01/2023
CLM-10039,2023,1,Catalonia,Commercial Fleet,Third-party liability,488804.6,Closed,23/01/2023
CLM-10040,2023,1,Catalonia,Commercial Fleet,Windscreen,53654.05,Closed,18/01/2023
CLM-10041,2023,1,Catalonia,Commercial Fleet,Weather damage,306656.67,Closed,15/03/2023
CLM-10042,2023,1,Catalonia,Commercial Fleet,Windscreen,65243.99,Closed,08/01/2023
CLM-10043,2023,1,Catalonia,Commercial Fleet,Theft,408585.85,Closed,10/02/2023
CLM-10044,2023,1,Catalonia,Commercial Fleet,Collision,342281.05,Closed,15/02/2023
CLM-10045,2023,1,Catalonia,Commercial Fleet,Collision,305989.89,Closed,18/01/2023
CLM-10046,2023,1,Catalonia,Motorcycle,Total loss,814783.77,Closed,04/03/2023
CLM-10047,2023,1,Catalonia,Private Motor,Theft,224782.23,Closed,06/01/2023
